what,kind,bundleId,bundleVersion,description,time
error,log,,,"CPU master group not set.",1312373802359
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1312373802421
started,bundle,org.eclipse.cdt.launch,6.0.0.200909110608,"org.eclipse.cdt.launch",1312373802453
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373804406
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373804546
error,log,,,"SOPC design not set.",1312373804593
error,log,,,"CPU module not set.",1312373804593
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1312373804593
error,log,,,"CPU architecture type not set. ",1312373804593
error,log,,,"CPU master group not set.",1312373804593
error,log,,,"SOPC design not set.",1312373805046
error,log,,,"CPU module not set.",1312373805046
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1312373805046
error,log,,,"CPU architecture type not set. ",1312373805046
error,log,,,"CPU master group not set.",1312373805046
opened,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1312373806984
error,log,,,"sun.awt.X11.XlibWrapper",1312373807578
started,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1312373807750
started,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.core",1312373807781
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373821390
activated,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1312373827984
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373828000
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1312373828000
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373828984
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312374562640
